key,category,zh-CN,note
tutorial.hint.qq.path,教程,左上角外链区->QQ,
tutorial.hint.quest.label,教程,任务,
tutorial.hint.quest.path,教程,右侧卷轴区->任务,
tutorial.hint.sense-qi.label,教程,感气视角,
tutorial.hint.sense-qi.path,教程,右下角行动栏->开关->感气视角,
tutorial.hint.set-cultivate.label,教程,设为主修,
tutorial.hint.set-cultivate.path,教程,右侧卷轴区->功法->对应功法->设为主修,
tutorial.hint.settings.label,教程,设置,
tutorial.hint.settings.path,教程,主界面左上角 → 设置,
tutorial.hint.simple-tutorial.label,教程,简易教程,
tutorial.hint.simple-tutorial.path,教程,左上角外链区->简易教程,
tutorial.hint.skill.label,教程,技能,
tutorial.hint.skill.path,教程,右下角行动栏->技能,
tutorial.hint.stationary-battle.label,教程,原地战斗,
tutorial.hint.stationary-battle.path,教程,右下角行动栏->开关->原地战斗,
tutorial.hint.suggestion.label,教程,意见,
tutorial.hint.suggestion.path,教程,主界面左上角 → 意见,
tutorial.hint.take-all.label,教程,全部拿取,
tutorial.hint.take-all.path,教程,拾取弹层->全部拿取,
tutorial.hint.take.label,教程,拿取,
tutorial.hint.take.path,教程,右下角行动栏->行动->拿取->执行,
tutorial.hint.technique.label,教程,功法,
tutorial.hint.technique.path,教程,右侧卷轴区->功法,
tutorial.hint.toggle.label,教程,开关,
tutorial.hint.toggle.path,教程,右下角行动栏->开关,
tutorial.main-tab.flow,教程,指引,
tutorial.main-tab.mechanics,教程,法则,
tutorial.main-tab.operations,教程,入门,
tutorial.mechanic.aura.label,教程,灵气与修炼,
tutorial.mechanic.aura.section.0.item.0,教程,地块灵气值低于 1000 时，灵气等级是 0。,
tutorial.mechanic.aura.section.0.item.1,教程,1000、1500、2250、3375 分别对应灵气 1、2、3、4 级，之后每升 1 级阈值都再提高 50%。,
tutorial.mechanic.aura.section.0.item.2,教程,所以灵气等级不是线性涨的，高一级灵气会越来越稀有。,
tutorial.mechanic.aura.section.0.title,教程,灵气等级阈值,
tutorial.mechanic.aura.section.1.item.0,教程,修炼乘区公式是“1 + 灵气等级”，也就是 0 级 = 1 倍、1 级 = 2 倍、2 级 = 3 倍、3 级 = 4 倍。,
tutorial.mechanic.aura.section.1.item.1,教程,境界推进实际按“你的每息境界修为 x (1 + 灵气等级)”结算；默认基础每息境界修为是 1。,
tutorial.mechanic.aura.section.1.item.2,教程,换句话说，同一个角色站在 2 级灵气地块上修炼，境界修为推进就是普通地块的 3 倍。,
tutorial.mechanic.aura.section.1.title,教程,对修炼的具体增幅,
tutorial.mechanic.aura.section.2.item.0,教程,感气最适合拿来找高灵气格子，但真正吃到增幅的是你脚下这一格，不是整张地图的平均值。,
tutorial.mechanic.aura.section.2.item.1,教程,灵气只管效率，不管安全；闭关前先看会不会被怪、玩家或路线打断。,
tutorial.mechanic.aura.section.2.item.2,教程,如果你走五行路线，地块灵气之外还要叠加对应灵根吸收效率，地图灵气高不代表你一定能吃满。,
tutorial.mechanic.aura.section.2.title,教程,怎么看这个机制,
tutorial.mechanic.aura.summary,教程,地块灵气直接决定修炼乘区，而且是整档整档地跳。找对灵气位，闭关效率会是普通地块的数倍。,
tutorial.mechanic.aura.tip.0,教程,能把修炼位从 0 级换到 2 级，收益通常比小幅补面板更直接。,
tutorial.mechanic.cross-level.label,教程,越级伤害与经验,
tutorial.mechanic.cross-level.section.0.item.0,教程,攻守双方每差 1 个境界等级，高打低的伤害乘区就是 1.2，低打高则是 0.8。,
tutorial.mechanic.cross-level.section.0.item.1,教程,这个机制按幂次乘算，所以高 2 级是 1.44 倍，低 2 级只有 0.64 倍；差距会越拉越开。,
tutorial.mechanic.cross-level.section.0.item.2,教程,因此很多“面板差不多却互相刮不动”或者“同面板被秒得更快”的情况，本质上是境界压制在起作用。,
tutorial.mechanic.cross-level.section.0.title,教程,境界差对伤害的影响,
tutorial.mechanic.cross-level.section.1.item.0,教程,如果你高于怪物，每高 1 级，击杀经验就再乘 0.5。高 2 级只剩 0.25，高 3 级只剩 0.125。,
tutorial.mechanic.cross-level.section.1.item.1,教程,如果你低于怪物，击杀经验会反过来加成。普通血脉每级乘 1.1，异种每级乘 1.25，妖王每级乘 1.4。,
tutorial.mechanic.cross-level.section.1.item.2,教程,怪物自身经验也会分段衰减：1 到 18 级每升 1 级额外乘 0.98，19 到 30 级乘 0.95，31 级以后乘 0.92。,
tutorial.mechanic.cross-level.section.1.title,教程,越级对刷怪经验的增减,
tutorial.mechanic.cross-level.section.2.item.0,教程,普通攻击还会额外参考双方战斗经验比值，形成独立伤害乘区。,
tutorial.mechanic.cross-level.section.2.item.1,教程,这层乘区最低不会低过 0.5，最高不会高过 2，也就是平 A 最惨打 50%，最高打到 200%。,
tutorial.mechanic.cross-level.section.2.item.2,教程,所以炸鱼时平 A 体感会更夸张，越级时平 A 也会更先塌，技能通常比裸平 A 更稳。,
tutorial.mechanic.cross-level.section.2.title,教程,还有一层普通攻击经验差,
tutorial.mechanic.cross-level.summary,教程,越级不是单纯的“打赢更赚”。系统同时给了伤害压制和经验修正，越高越低都可能吃到明显衰减。,
tutorial.mechanic.cross-level.tip.0,教程,经验机制奖励“适度越级”，但伤害机制惩罚“硬跨境打怪”，两边要一起看。,
tutorial.mechanic.fate-stone.label,教程,命石与复活,
tutorial.mechanic.fate-stone.section.0.item.0,教程,使用命石后，角色的复活点会直接改成对应地图，同时“遁返”行动的回城落点也一起改掉。,
tutorial.mechanic.fate-stone.section.0.item.1,教程,系统提示写得很直白：命石绑定成功后，今后遁返与复活都会落在此处。,
tutorial.mechanic.fate-stone.section.0.item.2,教程,当前明确可买到的命石有“命石-云来镇”和“命石-栖真渡”，分别绑定到云来镇和栖真渡。,
tutorial.mechanic.fate-stone.section.0.title,教程,绑定后会发生什么,
tutorial.mechanic.fate-stone.section.1.item.0,教程,遁返行动的冷却是 1800 息，也就是 30 分钟现实时间。,
tutorial.mechanic.fate-stone.section.1.item.1,教程,只要命石已经改绑，下一次遁返就会回新的绑定点，不需要再做别的设置。,
tutorial.mechanic.fate-stone.section.1.item.2,教程,如果你重复使用同地图的命石，系统会提示“你的命石早已系在此处”，不会重复消耗收益。,
tutorial.mechanic.fate-stone.section.1.title,教程,和遁返的关系,
tutorial.mechanic.fate-stone.section.2.item.0,教程,前期更看重补给和任务时，云来镇更稳；中期常驻练气区时，栖真渡会省很多跑路时间。,
tutorial.mechanic.fate-stone.section.2.item.1,教程,命石是路线工具，不是纯保命工具。绑定点离你常用地图越近，死亡和回补的损失越小。,
tutorial.mechanic.fate-stone.section.2.item.2,教程,准备去高危地图前，先确认命石有没有绑在顺手的回城点，别死完还要二次赶路。,
tutorial.mechanic.fate-stone.section.2.title,教程,该怎么选复活点,
tutorial.mechanic.fate-stone.summary,教程,命石就是复活点绑定物。它同时决定你死亡后的落点，也决定“遁返”回去的地方。,
tutorial.mechanic.fate-stone.tip.0,教程,命石绑定的是“回哪里”，不是“原地复活”。它真正节省的是整条补给路线。,
tutorial.mechanic.map-memory.label,教程,地图记忆,
tutorial.mechanic.map-memory.section.0.item.0,教程,带有地图记忆效果的物品，使用后会把对应 mapId 永久加入你的地图记忆列表。,
tutorial.mechanic.map-memory.section.0.item.1,教程,系统提示是“你展开某张图，彻底记下了某地的地势”，意思就是这份地图已经被永久记住。,
tutorial.mechanic.map-memory.section.0.item.2,教程,常见例子有“黑铁矿脉图”“栖真渡街图”“归藏脉窟阵脉图”等，它们分别对应各自地图的永久解锁。,
tutorial.mechanic.map-memory.section.0.title,教程,地图物品是怎么生效的,
tutorial.mechanic.map-memory.section.1.item.0,教程,解锁后，这张地图会进入你的小地图资料库，之后登录、死亡、换图都不会把它忘掉。,
tutorial.mechanic.map-memory.section.1.item.1,教程,这是永久记忆，不是消耗次数型道具；同一张地图只需要用一次。,
tutorial.mechanic.map-memory.section.1.item.2,教程,如果你已经解锁过，再使用同图卷轴，系统会提示“这份地图你早已记下”。,
tutorial.mechanic.map-memory.section.1.title,教程,记住之后有什么变化,
tutorial.mechanic.map-memory.section.2.item.0,教程,地图记忆解决的是“知道这张图”和“能看它的小地图”，不是自动把整张地图路线上每个细节都替你走完。,
tutorial.mechanic.map-memory.section.2.item.1,教程,很多地图卷轴本身就是功能物品，适合优先留给自己吃，不要第一时间全卖掉。,
tutorial.mechanic.map-memory.section.2.item.2,教程,如果你常跑资源图或多张练级图，先补齐地图记忆，路线效率会比盲跑稳定很多。,
tutorial.mechanic.map-memory.section.2.title,教程,要注意什么,
tutorial.mechanic.map-memory.summary,教程,地图记忆不是自动探索，而是通过地图物品永久解锁。用过一次就会记住，不需要反复开图。,
tutorial.mechanic.map-memory.tip.0,教程,地图记忆属于正式长期进度，用过就一直在，不会因为死亡丢失。,
tutorial.mechanic.mining.label,教程,灵矿与掉率,
tutorial.mechanic.mining.section.0.item.0,教程,每次强制攻击命中矿点后，系统都会按这一下实际打进矿点的伤害，单独判一次掉落。,
tutorial.mechanic.mining.section.0.item.1,教程,单次伤害低于 100 时，只按基础掉率的一半结算；100 到 299 是 1 倍基础掉率。,
tutorial.mechanic.mining.section.0.item.2,教程,之后每跨 3 倍阈值就再加 1 倍基础掉率，也就是 300 到 899 是 2 倍，900 到 2699 是 3 倍，2700 到 8099 是 4 倍。,
tutorial.mechanic.mining.section.0.title,教程,伤害怎么换掉率,
tutorial.mechanic.mining.section.1.item.0,教程,灵石矿的基础掉率是 20/10000，也就是 0.2%；如果单次伤害不到 100，就只有 0.1%。300 伤害起是 0.4%，900 伤害起是 0.6%。,
tutorial.mechanic.mining.section.1.item.1,教程,玄铁矿的基础掉率是 50/10000，也就是 0.5%；如果单次伤害不到 100，就只有 0.25%。300 伤害起是 1.0%，900 伤害起是 1.5%。,
tutorial.mechanic.mining.section.1.item.2,教程,矿点耐久和掉率是两回事：灵石矿默认耐久 100000，玄铁矿默认耐久 2000。耐久决定要打多久，掉率只看每一下伤害。,
tutorial.mechanic.mining.section.1.title,教程,当前矿种的具体数值,
tutorial.mechanic.mining.section.2.item.0,教程,挖矿收益既受“每下掉率”影响，也受“清空耐久速度”影响，所以单次伤害和攻击频率都重要。,
tutorial.mechanic.mining.section.2.item.1,教程,想明显提速，优先把单次伤害抬过 100、300、900 这些台阶，而不是只求多刮几下。,
tutorial.mechanic.mining.section.2.item.2,教程,矿点掉率是每击独立判定，背包满了时掉出的矿物会落在地上，不会直接消失。,
tutorial.mechanic.mining.section.2.title,教程,应该怎么理解,
tutorial.mechanic.mining.summary,教程,矿点掉落按单次伤害独立判定，不看累计总伤害。伤害跨过固定台阶后，掉率会整段上跳。,
tutorial.mechanic.mining.tip.0,教程,如果每下伤害长期卡在 100 以下，挖矿会同时吃掉率和拆矿速度两层亏损。,
tutorial.mechanic.realm-bonus.label,教程,境界属性增幅,
tutorial.mechanic.realm-bonus.section.0.item.0,教程,生命、灵力、灵力输出、双攻与主要战斗属性都会吃属性指数成长，公式是 (1.1)^(境界等级 - 1)。2 级约 1.1 倍，10 级约 2.36 倍，18 级约 5.05 倍。,
tutorial.mechanic.realm-bonus.section.0.item.1,教程,暴击伤害、生命回复、灵力回复与修炼效率等辅助属性还有一层线性成长，公式是 1 + 成长率 x (境界等级 - 1)。,
tutorial.mechanic.realm-bonus.section.0.item.2,教程,这两层和装备、功法、六维一起叠，所以“先升境界”常常会比只补一件小装备更值。,
tutorial.mechanic.realm-bonus.section.0.title,教程,全局成长乘区,
tutorial.mechanic.realm-bonus.section.1.item.0,教程,练气前四境先按境界气质成长，最终先天境六维各 +30：淬体偏体魄和力道，锻骨偏体魄、根骨和力道，通脉补经脉、神识和身法，先天再把六维补齐。,
tutorial.mechanic.realm-bonus.section.1.item.1,教程,练气三境继续抬高修仙根基，练气后期六维各 +100；筑基三境巩固道基，筑基后期六维各 +200。,
tutorial.mechanic.realm-bonus.section.1.item.2,教程,境界固定模板不增加视野、暴击伤害和冷却速度；这些主要靠功法、装备、神通或特殊词条获得。,
tutorial.mechanic.realm-bonus.section.1.title,教程,各大境界固定属性奖励,
tutorial.mechanic.realm-bonus.section.2.item.0,教程,大境界突破给的是固定模板抬升，境界等级提升给的是整体系数放大，两者不是同一层。,
tutorial.mechanic.realm-bonus.section.2.item.1,教程,所以你跨一个大境界时，常常会同时感觉到血量、攻防、修炼和越级能力一起变强。,
tutorial.mechanic.realm-bonus.section.2.item.2,教程,如果你刚突破却体感不明显，优先看是不是功法、装备或修炼位还停在旧阶段，没把新乘区吃满。,
tutorial.mechanic.realm-bonus.section.2.title,教程,怎么读面板,
tutorial.mechanic.realm-bonus.summary,教程,境界提供的不是单一加点，而是“固定大境界奖励 + 全局成长乘区”两层一起叠。,
tutorial.mechanic.realm-bonus.tip.0,教程,境界强在“整套模板一起抬”，不是只多几点裸属性。,
tutorial.mechanic.roots.label,教程,灵根与开天门,
tutorial.mechanic.roots.section.0.item.0,教程,开天门要求境界等级至少到 18，也就是叩仙门这一档。,
tutorial.mechanic.roots.section.0.item.1,教程,开天门本身不消耗境界修为，但它只是决定灵根，不等于立刻突破到练气。,
tutorial.mechanic.roots.section.0.item.2,教程,一旦你确认“入天门”，当前灵根结果基本就锁定了，之后通常不能再重开。,
tutorial.mechanic.roots.section.0.title,教程,什么时候开始,
tutorial.mechanic.roots.section.1.item.0,教程,每斩断或补回 1 条灵根，都会消耗当前境界 progressToNext 的 10%。例如这一境界上限是 360，就要花 36 点。,
tutorial.mechanic.roots.section.1.item.1,教程,逆天改命每次消耗当前境界 progressToNext 的 25%。例如上限 360 时，一次就是 90 点。,
tutorial.mechanic.roots.section.1.item.2,教程,最多能斩断 4 条灵根，也就是最极端可以只留 1 条。保留越少，单条数值越容易高，但路线会更窄。,
tutorial.mechanic.roots.section.1.title,教程,斩灵根和逆天改命的数值,
tutorial.mechanic.roots.section.2.item.0,教程,天品灵根幼苗会先把五行都定到 99，再让每一系各有 50% 概率升到 100，且保底至少 1 系 100；同时等价白送 10 次逆天改命积累。,
tutorial.mechanic.roots.section.2.item.1,教程,神品灵根幼苗会把五行全部固定为 100，同时等价白送 100 次逆天改命积累。,
tutorial.mechanic.roots.section.2.item.2,教程,灵根不仅影响五行伤害和五行减伤，也影响你吸收对应五行灵气的效率，所以它会同时影响战斗和修炼。,
tutorial.mechanic.roots.section.2.title,教程,幼苗和结果怎么理解,
tutorial.mechanic.roots.summary,教程,灵根不是出生自带，而是在叩仙门后通过开天门决定。你可以靠斩灵根、逆天改命和幼苗，主动改这套结果。,
tutorial.mechanic.roots.tip.0,教程,少灵根高数值更容易快速成型；多灵根更全面，但通常更吃资源和反复重开。,
tutorial.panel.close-hint,教程,点击空白处关闭,
tutorial.panel.flow-tabs.aria,教程,指引目录,
tutorial.panel.flow.summary,教程,常惑按景分列。困于何处，便切何处观之，无需通览。,
tutorial.panel.kicker.flow,教程,指引,
tutorial.panel.kicker.mechanics,教程,核心机制,
tutorial.panel.kicker.operations,教程,简明说明,
tutorial.panel.main-tabs.aria,教程,简易教程分类,
tutorial.panel.mechanics-tabs.aria,教程,法则目录,
tutorial.panel.operations-tabs.aria,教程,入门目录,
tutorial.panel.subtitle,教程,初涉仙途指引，迷途时可回此翻阅。,
tutorial.panel.tip-title,教程,小提醒,
tutorial.panel.title,教程,简易教程,
tutorial.topic.attack.label,教程,攻击,
tutorial.topic.attack.section.0.item.0,教程,去“行动”里的“技能”或战斗项，点击“执行”，再选目标或格子。,
tutorial.topic.attack.section.0.item.1,教程,技能条上会写射程、冷却和描述，先看清楚再出手。,
tutorial.topic.attack.section.0.item.2,教程,“强制攻击”是最通用的手动攻击方式，可以主动攻击玩家、怪物，也可以打墙体这类可破坏目标。,
tutorial.topic.attack.section.0.item.3,教程,如果按钮灰了，通常是冷却没好、目标不在范围里，或者当前场景不允许这么做。,
tutorial.topic.attack.section.0.title,教程,手动战斗,
tutorial.topic.attack.section.1.item.0,教程,开“自动战斗”后，系统会按你当前配置的顺位自动放技能。,
tutorial.topic.attack.section.1.item.1,教程,“自动反击”适合被打时自动回手；“原地战斗”适合不想乱跑的时候开。,
tutorial.topic.attack.section.1.item.2,教程,“全体攻击”会放宽群攻误伤限制，只有你明确想这么打时再开。,
tutorial.topic.attack.section.1.title,教程,自动战斗,
tutorial.topic.attack.section.2.item.0,教程,开战前先观察目标，看看血量、状态和周围地形，别一头撞进去。,
tutorial.topic.attack.section.2.item.1,教程,看见挡路的墙体、矿点或别的可打目标时，也可以直接用“强制攻击”处理。,
tutorial.topic.attack.section.2.item.2,教程,你不必把所有技能都塞进自动战斗，常用主力技排前面更稳定。,
tutorial.topic.attack.section.2.item.3,教程,某些区域偏安全，不能随便先手，这时更适合先做任务或换地方。,
tutorial.topic.attack.section.2.title,教程,实用提醒,
tutorial.topic.attack.summary,教程,战斗既能手动打，也能半自动打。关键是先看射程、冷却和目标位置，再决定是自己点还是交给自动战斗。,
tutorial.topic.attack.tip.0,教程,打不过时先别硬冲，先换地图、练功法、补装备，成长收益通常比硬磨高。,
tutorial.topic.basics.label,教程,起步,
tutorial.topic.basics.section.0.item.0,教程,直接点击地图格子就会自动寻路，角色会沿着可走的路自己过去。,
tutorial.topic.basics.section.0.item.1,教程,你每息最多执行一次主要操作，所以连续狂点不会让角色瞬间做很多事，只会按节奏排进去。,
tutorial.topic.basics.section.0.item.2,教程,如果想停手、换目标或取消当前点选，按取消键最直接。,
tutorial.topic.basics.section.0.title,教程,先怎么走,
tutorial.topic.basics.section.1.item.0,教程,左上会显示地图、坐标、岁、寿、境界、气血、真气和境界修为。,
tutorial.topic.basics.section.1.item.1,教程,右侧和下方面板分别负责背包、装备、功法、任务、坊市、行动、见闻等内容。,
tutorial.topic.basics.section.1.item.2,教程,不知道接下来做什么时，优先看任务面板、中间的地图信息和天机阁。,
tutorial.topic.basics.section.1.title,教程,界面怎么看,
tutorial.topic.basics.summary,教程,先把最常用的几件事学会：移动、看界面、找下一步。这个游戏按息结算，节奏比纯动作游戏慢一点，但信息很清楚。,
tutorial.topic.basics.tip.0,教程,新角色最重要的是先接任务、打开当前修炼，再逐步补齐主修功法。,
tutorial.topic.basics.tip.1,教程,遇到不会用的按钮，可以先看它所在面板的标题，基本都按功能分好了。,
tutorial.topic.cultivation.label,教程,修炼,
tutorial.topic.cultivation.section.0.item.0,教程,打开“功法”页，找到想练的功法，点“设为主修”。,
tutorial.topic.cultivation.section.0.item.1,教程,如果背包里有功法书，先在背包里使用，学会后它才会出现在功法列表里。,
tutorial.topic.cultivation.section.0.item.2,教程,主修只是在告诉系统“优先练哪本”；没有主修也可以先打开修炼推进境界。,
tutorial.topic.cultivation.section.0.title,教程,先选主修,
tutorial.topic.cultivation.section.1.item.0,教程,在“行动”里的“开关”页打开“当前修炼”，角色就会进入修炼状态。,
tutorial.topic.cultivation.section.1.item.1,教程,打开“闲置自动修炼”后，角色空下来时会自己接上修炼，不用每次手动再点。,
tutorial.topic.cultivation.section.1.item.2,教程,打开“修满自动切换”后，当前主修圆满时会自动换到下一本可练功法，更省心。,
tutorial.topic.cultivation.section.1.title,教程,怎么开始练,
tutorial.topic.cultivation.section.2.item.0,教程,顶部境界修为条满了，不代表自动升级；要点顶部的境界/突破按钮看要求。,
tutorial.topic.cultivation.section.2.item.1,教程,突破页会明确告诉你还差什么，满足后再确认突破。,
tutorial.topic.cultivation.section.2.item.2,教程,有些任务会要求你达到指定境界，所以修炼和任务经常是一起推进的。,
tutorial.topic.cultivation.section.2.title,教程,境界和突破,
tutorial.topic.cultivation.summary,教程,修炼分两部分：当前修炼决定境界推进，主修功法决定哪门功法一起获得经验。功法等级和境界推进都会影响后续玩法。,
tutorial.topic.cultivation.tip.0,教程,练功慢时，先检查“当前修炼”是不是没开，再看有没有合适的主修功法。,
tutorial.topic.cultivation.tip.1,教程,功法越多越不代表越强，先把常用主修练起来更重要。,
tutorial.topic.gather.label,教程,挖矿/拆除建筑,
tutorial.topic.gather.section.0.item.0,教程,去“行动”里找到“强制攻击”，点击后选中矿点、墙体或要拆的目标格。,
tutorial.topic.gather.section.0.item.1,教程,只要这个目标属于能被攻击的墙体、矿物或其他可破坏对象，就会按攻击流程结算。,
tutorial.topic.gather.section.0.item.2,教程,所以挖矿本质上就是“用强制攻击打矿”，拆建筑本质上就是“用强制攻击打墙或建筑”。,
tutorial.topic.gather.section.0.title,教程,怎么操作,
tutorial.topic.gather.section.1.item.0,教程,先用“观察”看看目标格，能更容易判断它是不是矿点、建筑或别的交互物。,
tutorial.topic.gather.section.1.item.1,教程,离得不够近时先走过去，别在太远的位置反复点技能。,
tutorial.topic.gather.section.1.item.2,教程,拆建筑和挖矿都可能需要多次攻击，没立刻打掉不一定是坏了，可能只是耐久还没清完。,
tutorial.topic.gather.section.1.title,教程,操作建议,
tutorial.topic.gather.summary,教程,当前挖矿和拆除建筑，核心做法都是用“强制攻击”去打目标格。矿点、墙体这类能被破坏的东西，都按这个思路处理。,
tutorial.topic.gather.tip.0,教程,不确定某格能不能采，先观察，再决定要不要交技能。,
tutorial.topic.inventory.label,教程,背包/装备,
tutorial.topic.inventory.section.0.item.0,教程,右侧“背包”页能看物品分类、数量和用途。,
tutorial.topic.inventory.section.0.item.1,教程,功法书、消耗品、任务物都会从这里经过，能用的东西尽量别一直压箱底。,
tutorial.topic.inventory.section.0.item.2,教程,任务卡住时，先检查包里是不是已经有该交的东西，或者该用的书还没用。,
tutorial.topic.inventory.section.0.title,教程,背包怎么用,
tutorial.topic.inventory.section.1.item.0,教程,去“装备”页查看当前穿戴和空位，把更合适的装备换上。,
tutorial.topic.inventory.section.1.item.1,教程,装备不仅加面板属性，还可能带条件效果或特殊词条。,
tutorial.topic.inventory.section.1.item.2,教程,换完装备后再去打原本吃力的怪，经常会轻松很多。,
tutorial.topic.inventory.section.1.title,教程,装备怎么换,
tutorial.topic.inventory.summary,教程,背包负责拿、用、整理；装备负责把属性穿到身上。很多成长卡点，不是等级不够，而是东西没用起来。,
tutorial.topic.inventory.tip.0,教程,包里长期不用的东西可以卖、存、交任务，别让背包容量一直拖后腿。,
tutorial.topic.observe.label,教程,观察,
tutorial.topic.observe.section.0.item.0,教程,在“行动”里点“观察”，再选视野范围内任意一格。,
tutorial.topic.observe.section.0.item.1,教程,弹出的观察面板会显示地块信息、地面物品、角色、场景人物和怪物信息等内容。,
tutorial.topic.observe.section.0.item.2,教程,观察面板支持点空白处直接关闭，不用专门找收起按钮。,
tutorial.topic.observe.section.0.title,教程,怎么观察,
tutorial.topic.observe.section.1.item.0,教程,地形、地面掉落、隐藏入口痕迹、目标的基础状态、部分增益和描述。,
tutorial.topic.observe.section.1.item.1,教程,如果同一格挤了很多玩家，系统可能只把它当成“人群”显示，而不是把每个人都展开。,
tutorial.topic.observe.section.1.item.2,教程,打怪、找入口、摸清一个地点前，先观察一次，通常能省很多试错。,
tutorial.topic.observe.section.1.title,教程,能看到什么,
tutorial.topic.observe.summary,教程,观察是最实用的情报技能之一。很多“这格到底有什么”“这个怪能不能打”之类的问题，都可以先靠观察解决。,
tutorial.topic.observe.tip.0,教程,观察不是浪费时间，而是少走弯路的最快办法。,
tutorial.topic.quest.label,教程,任务,
tutorial.topic.quest.section.0.item.0,教程,靠近场景人物后，在“行动”的交互类选项里和他交互，就能接任务或交任务。,
tutorial.topic.quest.section.0.item.1,教程,任务就绪后，任务面板里会明确写出下一步是去哪里、找谁、杀什么、交什么。,
tutorial.topic.quest.section.0.item.2,教程,任务完成到可交付时，记得回到交任务的场景人物那里，不会自动结清。,
tutorial.topic.quest.section.0.title,教程,怎么接和交,
tutorial.topic.quest.section.1.item.0,教程,“任务”页按主线、支线、日常、奇遇分栏显示。,
tutorial.topic.quest.section.1.item.1,教程,点开任务卡片可以看详情、目标地点、奖励和下一步提示。,
tutorial.topic.quest.section.1.item.2,教程,很多任务都支持“前往目标”或“前往交付”，能直接帮你开始自动导航。,
tutorial.topic.quest.section.1.title,教程,任务面板怎么用,
tutorial.topic.quest.summary,教程,任务是新手最稳定的成长路线。跟着任务走，你基本不会缺下一步目标，也更容易拿到功法、物资和地图引导。,
tutorial.topic.quest.tip.0,教程,卡任务时先看“下一步”，它通常已经把答案写在里面了。,
tutorial.topic.search.label,教程,搜索,
tutorial.topic.search.section.0.item.0,教程,在“行动”里点“拿取”，再选 1 格内的目标。,
tutorial.topic.search.section.0.item.1,教程,如果那格是地面掉落，会直接打开拾取窗口；如果是可搜索容器，就会进入翻找流程。,
tutorial.topic.search.section.0.item.2,教程,不在 1 格范围内时，先走近再点，别隔着老远重复试。,
tutorial.topic.search.section.0.title,教程,怎么打开拾取/搜索,
tutorial.topic.search.section.1.item.0,教程,地面物品可以直接拿；容器则可能需要按息搜索，逐步显露里面的东西。,
tutorial.topic.search.section.1.item.1,教程,搜索进度会显示已经过了多少息，没结束前别急着关。,
tutorial.topic.search.section.1.item.2,教程,看见需要的物品后可以单拿，也可以点“全部拿取”。,
tutorial.topic.search.section.1.title,教程,搜索时会发生什么,
tutorial.topic.search.section.2.item.0,教程,拿不起来时，先看是不是背包满了。,
tutorial.topic.search.section.2.item.1,教程,容器里一开始没全亮出来，不代表它是空的，可能只是还没搜完。,
tutorial.topic.search.section.2.item.2,教程,任务要求的掉落和提交物，很多都能通过搜索、拾取和击败怪物获得。,
tutorial.topic.search.section.2.title,教程,常见问题,
tutorial.topic.search.summary,教程,搜索主要对应地面掉落和容器翻找。想捡东西、翻箱倒柜、摸资源，一般都从“拿取”开始。,
tutorial.topic.search.tip.0,教程,打完怪顺手看一眼附近地面，很多资源就是这样一点点攒起来的。,
tutorial.topic.sense-qi.label,教程,感气决,
tutorial.topic.sense-qi.section.0.item.0,教程,在“行动”的“开关”页里打开“感气视角”。,
tutorial.topic.sense-qi.section.0.item.1,教程,打开后，地图会出现感气相关的表现，鼠标停在格子上时也会显示灵气提示。,
tutorial.topic.sense-qi.section.0.item.2,教程,想恢复普通视角，关掉“感气视角”就行。,
tutorial.topic.sense-qi.section.0.title,教程,怎么开,
tutorial.topic.sense-qi.section.1.item.0,教程,先开感气，再把鼠标移到不同地块上，对比哪里灵气更高。,
tutorial.topic.sense-qi.section.1.item.1,教程,如果你已经在观察某个格子，感气还能补充那里更细的气机信息。,
tutorial.topic.sense-qi.section.1.item.2,教程,找资源、找特殊地点、判断一个区域值不值得久留时，感气都很好用。,
tutorial.topic.sense-qi.section.1.title,教程,怎么用,
tutorial.topic.sense-qi.summary,教程,感气决主要用来“看地气”。它不会替你打怪，但能帮你更快判断哪里灵气浓、哪里值得细看。,
tutorial.topic.sense-qi.tip.0,教程,感气适合和观察配合：先看哪里气机不一样，再点开细看。,
tutorial.topic.trade.label,教程,交易,
tutorial.topic.trade.section.0.item.0,教程,右侧切到“坊市”页，点击“打开坊市”即可。,
tutorial.topic.trade.section.0.item.1,教程,坊市会分成盘面、我的挂单、托管仓、成交记录等栏位。,
tutorial.topic.trade.section.0.item.2,教程,如果盘面还没同步出来，等一会儿刷新就行，不用反复狂点。,
tutorial.topic.trade.section.0.title,教程,怎么打开,
tutorial.topic.trade.section.1.item.0,教程,在盘面里先选中物品，再决定是直接买、挂求购，还是用自己背包物品去挂售。,
tutorial.topic.trade.section.1.item.1,教程,挂单后不代表立刻成交，得等别人来撮合或系统撮合到合适价格。,
tutorial.topic.trade.section.1.item.2,教程,成交后的物品或货款，记得去看托管仓并领取。,
tutorial.topic.trade.section.1.title,教程,怎么买和卖,
tutorial.topic.trade.summary,教程,坊市是集中交易区，适合买卖常用物品、挂单、看成交记录，也能把一时带不走的物品先放在托管仓里。,
tutorial.topic.trade.tip.0,教程,背包满了又舍不得丢东西时，先看看能不能卖到坊市。,
tutorial.topic.ui.label,教程,界面,
tutorial.topic.ui.section.0.item.0,教程,“设置”里能调界面样式，深色模式和手机模式也考虑进去了。,
